id,kidgen,momage,homecog,homeemo,Index1,read,kidagetv,time
22,0,28,13,10,1,2.1,6.08,1
22,0,28,13,10,2,3.9,8.08,2
34,1,28,9,9,1,2.1,6.83,1
34,1,28,9,9,2,2.9,8.83,2
34,1,28,9,9,3,4.5,10.83,3
34,1,28,9,9,4,4.5,12.83,4
58,0,28,9,6,1,2.3,6.5,1
58,0,28,9,6,2,4.5,8.5,2
58,0,28,9,6,3,4.2,10.5,3
58,0,28,9,6,4,4.6,12.5,4
122,1,28,13,10,1,3.7,7.83,1
122,1,28,13,10,2,8,9.83,2
125,0,29,10,8,1,2.3,7.42,1
125,0,29,10,8,2,3.8,9.42,2
125,0,29,10,8,3,4.3,11.42,3
125,0,29,10,8,4,6.2,13.42,4
133,1,28,8,9,1,1.8,6.75,1
133,1,28,8,9,2,2.6,8.75,2
133,1,28,8,9,3,4.1,10.75,3
133,1,28,8,9,4,4,12.75,4
163,1,28,10,10,1,3.5,7.17,1
163,1,28,10,10,2,4.8,9.17,2
163,1,28,10,10,3,5.8,11.17,3
163,1,28,10,10,4,7.5,13.17,4
190,0,28,9,8,1,2.9,6.67,1
190,0,28,9,8,2,6.1,8.67,2
227,0,29,12,10,1,1.8,6.25,1
227,0,29,12,10,2,3.8,8.25,2
227,0,29,12,10,3,4,10.25,3
248,0,28,9,9,1,3.5,7.5,1
248,0,28,9,9,2,5.7,9.5,2
248,0,28,9,9,3,7,11.5,3
248,0,28,9,9,4,6.9,13.5,4
251,1,29,6,9,1,2.6,7.42,1
251,1,29,6,9,2,3.8,9.42,2
251,1,29,6,9,3,6.3,11.42,3
251,1,29,6,9,4,6.1,13.42,4
300,1,28,7,11,1,1.8,6.08,1
300,1,28,7,11,2,3.7,8.08,2
300,1,28,7,11,3,4.4,10.08,3
300,1,28,7,11,4,4.2,12.08,4
326,1,29,13,10,1,1.8,6.08,1
326,1,29,13,10,2,3.2,8.08,2
326,1,29,13,10,3,5.4,12.08,3
348,1,27,10,11,1,2.2,7,1
348,1,27,10,11,2,4,9,2
348,1,27,10,11,3,5.1,11,3
348,1,27,10,11,4,6.3,13,4
382,0,27,7,4,1,2.5,7.17,1
382,0,27,7,4,2,3.7,9.17,2
382,0,27,7,4,3,4.1,11.17,3
382,0,27,7,4,4,7.2,13.17,4
400,1,27,8,8,1,2.4,6,1
400,1,27,8,8,2,5,8,2
400,1,27,8,8,3,5.1,10,3
400,1,27,8,8,4,5.8,12,4
405,1,27,14,11,1,3.1,6.25,1
405,1,27,14,11,2,4.1,8.25,2
405,1,27,14,11,3,5.5,12.25,3
427,1,28,9,3,1,2.8,7.5,1
427,1,28,9,3,2,5.7,9.5,2
427,1,28,9,3,3,5.3,11.5,3
427,1,28,9,3,4,5.8,13.5,4
431,0,27,10,9,1,1.4,6.42,1
431,0,27,10,9,2,2.2,8.42,2
431,0,27,10,9,3,2.3,10.42,3
480,0,27,10,11,1,3.5,7.67,1
480,0,27,10,11,2,4.3,9.67,2
480,0,27,10,11,3,4.8,11.67,3
480,0,27,10,11,4,5.9,13.67,4
484,0,28,13,11,1,6.7,8,1
484,0,28,13,11,2,8.2,10,2
484,0,28,13,11,3,6.9,12,3
486,1,27,7,7,1,3.1,6.67,1
486,1,27,7,7,2,4.7,8.67,2
486,1,27,7,7,3,5.6,10.67,3
486,1,27,7,7,4,6.4,12.67,4
494,1,27,10,9,1,2.3,7.42,1
494,1,27,10,9,2,4.1,9.42,2
494,1,27,10,9,3,5.8,11.42,3
494,1,27,10,9,4,6.9,13.42,4
509,1,27,11,10,1,2.1,6.33,1
509,1,27,11,10,2,3.9,8.33,2
509,1,27,11,10,3,5,10.33,3
509,1,27,11,10,4,5.3,12.33,4
522,0,27,9,9,1,3,7.17,1
522,0,27,9,9,2,4.2,9.17,2
522,0,27,9,9,3,5.6,11.17,3
522,0,27,9,9,4,6.2,13.17,4
533,0,28,11,8,1,1.8,6.42,1
533,0,28,11,8,2,2.7,8.42,2
533,0,28,11,8,3,4,10.42,3
533,0,28,11,8,4,4.5,12.42,4
555,0,28,9,5,1,3.8,7.75,1
555,0,28,9,5,2,5.7,9.75,2
555,0,28,9,5,3,6.2,11.75,3
555,0,28,9,5,4,6.8,13.75,4
568,0,27,8,8,1,1.8,6,1
568,0,27,8,8,2,4.2,8,2
568,0,27,8,8,3,5.1,10,3
568,0,27,8,8,4,7.2,12,4
637,1,27,4,6,1,2.6,6.17,1
637,1,27,4,6,2,2.5,8.17,2
637,1,27,4,6,3,3.3,10.17,3
637,1,27,4,6,4,4.4,12.17,4
648,0,27,7,7,1,3.6,8,1
648,0,27,7,7,2,5.2,10,2
648,0,27,7,7,3,6,12,3
648,0,27,7,7,4,7.5,14,4
689,0,26,12,13,1,1.8,6,1
689,0,26,12,13,2,2.4,8,2
689,0,26,12,13,3,3.7,10,3
689,0,26,12,13,4,5.4,12,4
747,1,26,6,9,1,3,6.67,1
747,1,26,6,9,2,4.7,8.67,2
747,1,26,6,9,3,6.5,10.67,3
747,1,26,6,9,4,6.1,12.67,4
756,0,26,9,7,1,2.3,6.5,1
756,0,26,9,7,2,4.2,8.5,2
756,0,26,9,7,3,6.7,12.5,3
761,1,26,9,11,1,2.1,7.83,1
761,1,26,9,11,2,2.5,9.83,2
761,1,26,9,11,3,4,11.83,3
761,1,26,9,11,4,3.3,13.83,4
768,0,27,12,11,1,2.8,6.92,1
768,0,27,12,11,2,5,8.92,2
768,0,27,12,11,3,6,10.92,3
768,0,27,12,11,4,6.1,12.92,4
780,1,26,9,11,1,1.8,6.08,1
780,1,26,9,11,2,2.9,8.08,2
780,1,26,9,11,3,6,10.08,3
798,0,27,10,12,1,1.8,6,1
798,0,27,10,12,2,2.4,8,2
798,0,27,10,12,3,3.5,10,3
798,0,27,10,12,4,4.4,12,4
813,1,26,3,7,1,2.8,7,1
813,1,26,3,7,2,3.8,9,2
813,1,26,3,7,3,3.9,11,3
813,1,26,3,7,4,5,13,4
828,0,26,9,7,1,1.7,6.42,1
828,0,26,9,7,2,2.8,8.42,2
828,0,26,9,7,3,3.9,10.42,3
828,0,26,9,7,4,4.8,12.42,4
851,0,26,9,8,1,3.1,6.5,1
851,0,26,9,8,2,5.2,8.5,2
851,0,26,9,8,3,6.2,10.5,3
851,0,26,9,8,4,6.8,12.5,4
858,1,26,13,10,1,1.3,6.25,1
858,1,26,13,10,2,2.3,8.25,2
858,1,26,13,10,3,2.5,10.25,3
858,1,26,13,10,4,3.4,12.25,4
865,0,26,7,7,1,2.3,7.5,1
865,0,26,7,7,2,4.1,9.5,2
865,0,26,7,7,3,5.4,13.5,3
894,1,27,12,9,1,1.8,6.17,1
894,1,27,12,9,2,3.5,8.17,2
894,1,27,12,9,3,3.7,10.17,3
894,1,27,12,9,4,5.6,12.17,4
906,1,26,10,12,1,1.7,6.5,1
906,1,26,10,12,2,2.1,8.5,2
906,1,26,10,12,4,2.5,12.5,4
911,1,26,7,8,1,1.9,7.75,1
911,1,26,7,8,2,2.3,9.75,2
911,1,26,7,8,3,3,11.75,3
911,1,26,7,8,4,2.8,13.75,4
936,0,26,10,10,1,3.3,8,1
936,0,26,10,10,2,4.4,10,2
936,0,26,10,10,3,5.9,12,3
936,0,26,10,10,4,5.8,14,4
939,1,26,8,10,1,3.1,7.42,1
939,1,26,8,10,2,4.1,9.42,2
939,1,26,8,10,3,4.7,11.42,3
939,1,26,8,10,4,5.1,13.42,4
945,0,27,8,11,1,2.7,7.83,1
945,0,27,8,11,2,4.9,9.83,2
945,0,27,8,11,3,5,11.83,3
957,0,27,13,6,1,2.1,7.08,1
957,0,27,13,6,2,4,9.08,2
957,0,27,13,6,3,4.4,11.08,3
963,1,27,12,11,1,1.9,6.25,1
963,1,27,12,11,2,3,8.25,2
963,1,27,12,11,3,4.1,10.25,3
963,1,27,12,11,4,4.4,12.25,4
970,0,26,7,11,1,2.2,7.58,1
970,0,26,7,11,2,3.9,9.58,2
970,0,26,7,11,3,5.7,11.58,3
970,0,26,7,11,4,6,13.58,4
1031,0,26,8,7,1,2.5,6.33,1
1031,0,26,8,7,2,4,8.33,2
1031,0,26,8,7,3,4.4,10.33,3
1031,0,26,8,7,4,5.5,12.33,4
1036,1,26,8,12,1,2.4,6.92,1
1036,1,26,8,12,2,3.9,8.92,2
1036,1,26,8,12,3,5.1,10.92,3
1036,1,26,8,12,4,5.6,12.92,4
1048,0,25,8,9,1,2,6.42,1
1048,0,25,8,9,2,4,8.42,2
1048,0,25,8,9,4,5.7,12.42,4
1050,0,25,10,11,1,2.1,6.17,1
1050,0,25,10,11,3,4.5,10.17,3
1050,0,25,10,11,4,5.3,12.17,4
1072,1,25,8,9,1,1.7,8,1
1072,1,25,8,9,2,2.1,10,2
1076,0,25,13,11,1,2,6.75,1
1076,0,25,13,11,2,4.3,8.75,2
1076,0,25,13,11,3,5,10.75,3
1076,0,25,13,11,4,5.7,12.75,4
1086,0,25,6,8,1,2.2,6.92,1
1086,0,25,6,8,2,3.2,8.92,2
1086,0,25,6,8,3,4.6,10.92,3
1086,0,25,6,8,4,5.6,12.92,4
1091,0,25,11,7,1,4.4,7.5,1
1111,0,25,5,9,1,2,8,1
1111,0,25,5,9,2,2.6,10,2
1111,0,25,5,9,3,3.4,12,3
1123,0,25,11,11,1,2.1,6.5,1
1123,0,25,11,11,2,3.2,8.5,2
1123,0,25,11,11,3,4.9,10.5,3
1123,0,25,11,11,4,5.9,12.5,4
1135,0,25,9,11,1,3.2,8,1
1135,0,25,9,11,2,4,10,2
1135,0,25,9,11,3,4.4,12,3
1135,0,25,9,11,4,5.9,14,4
1139,0,25,12,11,1,2.4,7.92,1
1139,0,25,12,11,2,3.6,9.92,2
1139,0,25,12,11,3,4.6,11.92,3
1139,0,25,12,11,4,5.1,13.92,4
1166,1,26,4,9,1,1.8,6.75,1
1166,1,26,4,9,2,2.6,8.75,2
1166,1,26,4,9,3,3.8,10.75,3
1166,1,26,4,9,4,3.9,12.75,4
1170,1,26,8,9,1,2.9,7.83,1
1170,1,26,8,9,2,4,9.83,2
1170,1,26,8,9,3,5.1,11.83,3
1193,1,25,8,7,1,2.6,7.17,1
1193,1,25,8,7,2,3.5,9.17,2
1193,1,25,8,7,3,4.1,11.17,3
1193,1,25,8,7,4,6.2,13.17,4
1204,0,25,5,6,1,3.5,8,1
1204,0,25,5,6,2,4.3,10,2
1204,0,25,5,6,3,4.8,12,3
1204,0,25,5,6,4,5.6,14,4
1220,0,26,9,4,1,4.6,7.58,1
1220,0,26,9,4,2,6,9.58,2
1220,0,26,9,4,3,6.1,11.58,3
1220,0,26,9,4,4,6.1,13.58,4
1240,0,25,12,11,1,4.7,7.92,1
1240,0,25,12,11,2,6,9.92,2
1240,0,25,12,11,3,7,11.92,3
1240,0,25,12,11,4,8,13.92,4
1258,0,25,10,6,1,2.5,7.92,1
1258,0,25,10,6,3,6.9,11.92,3
1258,0,25,10,6,4,5.1,13.92,4
1271,0,25,9,6,1,3.1,7.67,1
1271,0,25,9,6,2,4.1,9.67,2
1271,0,25,9,6,3,5.8,11.67,3
1271,0,25,9,6,4,7.4,13.67,4
1294,0,26,7,8,1,4,7.83,1
1294,0,26,7,8,2,5.5,9.83,2
1294,0,26,7,8,3,8.1,11.83,3
1331,0,25,8,9,1,2.1,7,1
1331,0,25,8,9,2,3,9,2
1331,0,25,8,9,3,4,11,3
1331,0,25,8,9,4,4,13,4
1335,1,25,5,7,1,3.6,7.5,1
1335,1,25,5,7,2,3.8,9.5,2
1335,1,25,5,7,3,5.3,11.5,3
1335,1,25,5,7,4,5.9,13.5,4
1361,1,25,11,12,1,4,7.33,1
1361,1,25,11,12,2,6.1,9.33,2
1361,1,25,11,12,3,7.5,11.33,3
1361,1,25,11,12,4,6.6,13.33,4
1378,1,26,11,12,1,3.2,7.67,1
1378,1,26,11,12,2,3.6,9.67,2
1378,1,26,11,12,3,4.2,11.67,3
1378,1,26,11,12,4,4.4,13.67,4
1386,1,25,7,12,1,2.4,7.58,1
1386,1,25,7,12,2,3.3,11.58,2
1392,0,26,4,10,1,2.8,7.83,1
1392,0,26,4,10,2,5.1,9.83,2
1392,0,26,4,10,3,7.7,11.83,3
1392,0,26,4,10,4,6.7,13.83,4
1412,1,25,10,7,1,5.6,6.33,1
1412,1,25,10,7,2,4.6,8.33,2
1412,1,25,10,7,3,6,10.33,3
1412,1,25,10,7,4,6.3,12.33,4
1419,1,24,8,8,1,1.8,6.83,1
1419,1,24,8,8,2,3,8.83,2
1422,0,25,8,8,1,1.8,6.33,1
1422,0,25,8,8,2,3.8,8.33,2
1422,0,25,8,8,3,4.7,10.33,3
1456,0,24,9,11,1,2.3,6.75,1
1456,0,24,9,11,2,4.4,8.75,2
1456,0,24,9,11,3,5.6,10.75,3
1456,0,24,9,11,4,7.2,12.75,4
1463,1,25,9,7,1,2.2,7.08,1
1463,1,25,9,7,2,3.7,9.08,2
1463,1,25,9,7,3,4.8,11.08,3
1463,1,25,9,7,4,5.4,13.08,4
1466,0,24,10,7,1,3.5,7.83,1
1466,0,24,10,7,2,4.2,9.83,2
1466,0,24,10,7,3,4.9,11.83,3
1466,0,24,10,7,4,4.4,13.83,4
1491,1,25,12,11,1,2.3,6.58,1
1491,1,25,12,11,2,4.2,8.58,2
1491,1,25,12,11,3,5.3,10.58,3
1491,1,25,12,11,4,5.4,12.58,4
1498,1,24,10,11,1,3.8,6.58,1
1498,1,24,10,11,2,5.5,8.58,2
1498,1,24,10,11,3,7.8,10.58,3
1515,1,24,8,10,1,2.1,6.5,1
1515,1,24,8,10,2,3,8.5,2
1515,1,24,8,10,3,3.7,10.5,3
1515,1,24,8,10,4,4.8,12.5,4
1530,1,24,8,12,1,2.7,7.17,1
1530,1,24,8,12,2,4.7,9.17,2
1530,1,24,8,12,3,5.9,11.17,3
1530,1,24,8,12,4,6.9,13.17,4
1537,0,24,6,7,1,1.8,6.25,1
1537,0,24,6,7,2,3.1,8.25,2
1537,0,24,6,7,3,3.7,10.25,3
1537,0,24,6,7,4,4.3,12.25,4
1550,0,24,5,8,1,3.9,7.42,1
1550,0,24,5,8,2,5.1,9.42,2
1552,1,25,13,8,1,1.8,6,1
1552,1,25,13,8,2,3.5,8,2
1552,1,25,13,8,3,4.5,10,3
1552,1,25,13,8,4,5.9,12,4
1559,0,24,10,3,1,2.3,8,1
1559,0,24,10,3,2,2.7,10,2
1559,0,24,10,3,3,4.1,12,3
1559,0,24,10,3,4,4.4,14,4
1577,1,25,2,0,1,1.8,6.67,1
1577,1,25,2,0,2,2.6,8.67,2
1577,1,25,2,0,3,3.3,10.67,3
1582,0,24,11,8,1,2.3,6.33,1
1582,0,24,11,8,2,6,8.33,2
1582,0,24,11,8,3,7.8,10.33,3
1584,0,25,12,9,1,2.1,6.92,1
1584,0,25,12,9,2,3.1,8.92,2
1584,0,25,12,9,3,3.9,10.92,3
1584,0,25,12,9,4,4.7,12.92,4
1599,1,24,7,9,1,1.8,6.17,1
1599,1,24,7,9,3,2.4,10.17,3
1608,1,24,6,5,1,3.8,7.42,1
1608,1,24,6,5,2,4.8,9.42,2
1608,1,24,6,5,4,7,13.42,4
1621,1,25,11,11,1,3.5,7.83,1
1621,1,25,11,11,2,4.8,9.83,2
1621,1,25,11,11,3,5.4,11.83,3
1621,1,25,11,11,4,6.2,13.83,4
1639,1,24,12,9,1,1.5,6.58,1
1639,1,24,12,9,2,2,8.58,2
1639,1,24,12,9,4,2.6,12.58,4
1648,1,25,11,9,1,4.1,7.25,1
1648,1,25,11,9,2,4.7,9.25,2
1648,1,25,11,9,3,6.4,13.25,3
1652,0,25,11,11,1,3.6,6.83,1
1652,0,25,11,11,2,5.4,8.83,2
1652,0,25,11,11,3,6.2,10.83,3
1652,0,25,11,11,4,7.7,12.83,4
1659,1,25,8,9,1,3.7,6.42,1
1659,1,25,8,9,2,5.2,8.42,2
1659,1,25,8,9,3,5.7,10.42,3
1659,1,25,8,9,4,7.8,12.42,4
1665,0,24,5,11,1,4.3,8,1
1665,0,24,5,11,2,5,10,2
1665,0,24,5,11,3,5.3,12,3
1665,0,24,5,11,4,6.7,14,4
1666,1,24,7,11,1,4.7,7.58,1
1666,1,24,7,11,2,5.3,9.58,2
1666,1,24,7,11,3,6.1,11.58,3
1666,1,24,7,11,4,7,13.58,4
1682,0,24,7,5,1,1.8,6.5,1
1682,0,24,7,5,2,2.9,8.5,2
1682,0,24,7,5,3,4.2,12.5,3
1700,1,24,5,5,1,1.8,6.17,1
1700,1,24,5,5,2,4.5,8.17,2
1700,1,24,5,5,3,5.6,10.17,3
1700,1,24,5,5,4,5.8,12.17,4
1741,1,23,10,4,1,2.1,6.83,1
1741,1,23,10,4,2,3.5,8.83,2
1741,1,23,10,4,3,4.5,10.83,3
1741,1,23,10,4,4,5.1,12.83,4
1756,1,23,8,7,1,2.4,7.58,1
1756,1,23,8,7,2,3.7,9.58,2
1756,1,23,8,7,3,4.7,11.58,3
1756,1,23,8,7,4,5.5,13.58,4
1763,0,23,6,6,1,2.6,6.75,1
1763,0,23,6,6,2,5.2,8.75,2
1810,0,23,8,6,1,2.1,6.42,1
1810,0,23,8,6,2,2.3,8.42,2
1828,1,24,9,7,1,2.5,6.75,1
1828,1,24,9,7,2,4.7,8.75,2
1828,1,24,9,7,3,5.3,10.75,3
1828,1,24,9,7,4,5.5,12.75,4
1830,0,24,9,7,1,1.9,6.08,1
1830,0,24,9,7,2,5.5,8.08,2
1830,0,24,9,7,3,5.5,10.08,3
1830,0,24,9,7,4,5.5,12.08,4
1836,0,23,4,3,1,2.1,8,1
1836,0,23,4,3,2,2.5,10,2
1836,0,23,4,3,3,3.1,12,3
1836,0,23,4,3,4,3.4,14,4
1843,0,24,9,11,1,2.3,7.5,1
1843,0,24,9,11,2,3.3,9.5,2
1843,0,24,9,11,3,3.3,11.5,3
1848,1,23,12,10,1,1.8,6,1
1848,1,23,12,10,2,2.5,8,2
1848,1,23,12,10,3,4,10,3
1848,1,23,12,10,4,4.1,12,4
1886,1,24,3,5,1,3,6.58,1
1886,1,24,3,5,2,3.8,8.58,2
1886,1,24,3,5,3,4.5,10.58,3
1886,1,24,3,5,4,5.5,12.58,4
1888,0,24,6,7,1,2.5,7.25,1
1888,0,24,6,7,2,2.6,9.25,2
1888,0,24,6,7,3,3.7,11.25,3
1888,0,24,6,7,4,3.5,13.25,4
1926,1,24,6,5,1,1.7,6.08,1
1926,1,24,6,5,2,2.2,8.08,2
1934,1,23,10,3,1,3.2,7.42,1
1934,1,23,10,3,2,5.5,9.42,2
1934,1,23,10,3,3,5.6,11.42,3
1934,1,23,10,3,4,4.9,13.42,4
1940,0,23,4,6,1,1.9,6.42,1
1940,0,23,4,6,2,2.8,8.42,2
1940,0,23,4,6,3,3.3,10.42,3
1940,0,23,4,6,4,3.6,12.42,4
1969,1,24,12,10,1,1.8,6.42,1
1969,1,24,12,10,2,4.8,8.42,2
1969,1,24,12,10,3,6.5,10.42,3
1969,1,24,12,10,4,6.8,12.42,4
1975,1,23,7,9,1,2.4,6.83,1
1975,1,23,7,9,2,3.8,8.83,2
1975,1,23,7,9,3,4.7,10.83,3
1975,1,23,7,9,4,5.2,12.83,4
1996,1,24,10,11,1,1.8,7.25,1
1996,1,24,10,11,2,4.1,9.25,2
1996,1,24,10,11,3,5.3,11.25,3
1996,1,24,10,11,4,7.9,13.25,4
2025,1,23,12,10,1,2.9,6.67,1
2025,1,23,12,10,2,2.9,8.67,2
2025,1,23,12,10,3,4.5,10.67,3
2031,0,23,6,7,1,2.8,7.42,1
2031,0,23,6,7,2,3.8,9.42,2
2031,0,23,6,7,3,4.3,11.42,3
2031,0,23,6,7,4,5,13.42,4
2039,1,23,6,6,1,1.7,6,1
2039,1,23,6,6,2,4.2,8,2
2058,1,24,5,7,1,3.5,6.75,1
2058,1,24,5,7,2,4.2,8.75,2
2058,1,24,5,7,3,5.9,10.75,3
2058,1,24,5,7,4,6.3,12.75,4
2069,1,24,7,9,1,1.7,6,1
2069,1,24,7,9,2,2.6,8,2
2069,1,24,7,9,3,3.1,10,3
2069,1,24,7,9,4,3.5,12,4
2199,0,22,6,7,1,1.8,6.25,1
2199,0,22,6,7,2,2.7,8.25,2
2199,0,22,6,7,3,3.5,10.25,3
2199,0,22,6,7,4,3.7,12.25,4
2201,1,22,11,10,1,3.7,7.25,1
2201,1,22,11,10,2,5.9,9.25,2
2201,1,22,11,10,3,6.1,11.25,3
2201,1,22,11,10,4,8.3,13.25,4
2271,1,22,11,7,1,3.1,6.75,1
2271,1,22,11,7,3,5.5,10.75,3
2271,1,22,11,7,4,6.2,12.75,4
2287,0,22,2,5,1,3.5,7.92,1
2287,0,22,2,5,2,4.5,9.92,2
2287,0,22,2,5,3,4.8,11.92,3
2291,0,22,8,12,1,1.6,6.5,1
2291,0,22,8,12,2,2.2,8.5,2
2291,0,22,8,12,4,2.7,12.5,4
2375,0,23,11,9,1,2,6,1
2375,0,23,11,9,2,3.3,8,2
2375,0,23,11,9,3,4,10,3
2375,0,23,11,9,4,4.7,12,4
2376,1,23,7,10,1,2,6.58,1
2376,1,23,7,10,2,2.3,8.58,2
2376,1,23,7,10,3,3.9,10.58,3
2376,1,23,7,10,4,4.5,12.58,4
2396,1,22,6,3,1,2,6.67,1
2396,1,22,6,3,2,3,8.67,2
2396,1,22,6,3,3,5.8,12.67,3
2454,0,22,12,10,1,2,6.17,1
2454,0,22,12,10,2,3.6,8.17,2
2454,0,22,12,10,3,4.6,10.17,3
2454,0,22,12,10,4,5.5,12.17,4
2480,0,21,9,7,1,1.8,6.5,1
2480,0,21,9,7,2,2.5,8.5,2
2480,0,21,9,7,3,2.9,10.5,3
2480,0,21,9,7,4,3.5,12.5,4
2601,0,22,9,7,1,4.8,7.67,1
2601,0,22,9,7,2,5.3,9.67,2
2601,0,22,9,7,3,6.4,11.67,3
2635,1,21,8,7,1,2,7,1
2635,1,21,8,7,2,2.6,9,2
2635,1,21,8,7,3,3.9,13,3
2655,0,22,7,4,1,2,6.08,1
2655,0,22,7,4,2,4.8,8.08,2
2655,0,22,7,4,4,6.3,12.08,4
2678,0,28,9,11,1,4.5,8,1
2678,0,28,9,11,2,5.8,10,2
2678,0,28,9,11,3,7.6,12,3
2678,0,28,9,11,4,8,14,4
2696,1,29,4,8,1,2,7.67,1
2696,1,29,4,8,2,3.5,9.67,2
2696,1,29,4,8,3,4.3,11.67,3
2716,0,28,9,12,1,3.5,6.67,1
2716,0,28,9,12,2,5,8.67,2
2716,0,28,9,12,3,5.5,10.67,3
2716,0,28,9,12,4,7.7,12.67,4
2720,1,28,9,9,1,1.8,7.92,1
2720,1,28,9,9,2,3.6,9.92,2
2720,1,28,9,9,3,4.3,11.92,3
2720,1,28,9,9,4,5.1,13.92,4
2724,1,28,9,5,1,1.8,6.42,1
2724,1,28,9,5,2,3.4,8.42,2
2724,1,28,9,5,4,4.9,12.42,4
2780,0,29,12,8,1,2.4,6.83,1
2780,0,29,12,8,2,5.4,8.83,2
2780,0,29,12,8,3,6.5,10.83,3
2780,0,29,12,8,4,7.7,12.83,4
2781,1,28,11,12,1,4.2,7.92,1
2781,1,28,11,12,2,6.2,9.92,2
2781,1,28,11,12,3,5.8,11.92,3
2781,1,28,11,12,4,6.1,13.92,4
2810,0,28,11,12,1,3.2,6.83,1
2810,0,28,11,12,2,4.7,8.83,2
2810,0,28,11,12,3,6.4,10.83,3
2810,0,28,11,12,4,7.4,12.83,4
2833,1,28,10,9,1,2.1,7.58,1
2833,1,28,10,9,2,4.2,11.58,2
2884,1,28,11,13,1,3.3,7.58,1
2884,1,28,11,13,2,4.9,9.58,2
2884,1,28,11,13,3,6.1,11.58,3
2884,1,28,11,13,4,6.8,13.58,4
2890,0,28,9,8,1,2.7,7.17,1
2890,0,28,9,8,2,4.9,9.17,2
2890,0,28,9,8,3,5.3,11.17,3
2890,0,28,9,8,4,6.6,13.17,4
2895,0,28,11,9,1,3.5,7.17,1
2895,0,28,11,9,2,5.9,9.17,2
2895,0,28,11,9,3,7.8,11.17,3
2895,0,28,11,9,4,7.1,13.17,4
2957,0,27,13,10,1,2.9,6.67,1
2957,0,27,13,10,2,4.5,8.67,2
2957,0,27,13,10,3,4.8,10.67,3
2957,0,27,13,10,4,6.4,12.67,4
3013,0,27,10,12,1,2.2,7.17,1
3013,0,27,10,12,2,4.7,9.17,2
3013,0,27,10,12,3,3.8,11.17,3
3013,0,27,10,12,4,5.7,13.17,4
3033,0,28,10,12,1,2.7,7.83,1
3033,0,28,10,12,2,3.9,9.83,2
3033,0,28,10,12,3,4.9,11.83,3
3033,0,28,10,12,4,5.5,13.83,4
3039,1,27,5,8,1,4,7.33,1
3055,1,28,2,6,1,2.2,7.58,1
3055,1,28,2,6,2,3.8,9.58,2
3055,1,28,2,6,4,5.4,13.58,4
3059,0,27,7,9,1,1.8,6.83,1
3059,0,27,7,9,2,3.3,8.83,2
3059,0,27,7,9,3,5,10.83,3
3059,0,27,7,9,4,6.2,12.83,4
3082,1,27,10,10,1,1.6,6.08,1
3082,1,27,10,10,2,2.7,8.08,2
3082,1,27,10,10,3,4,10.08,3
3082,1,27,10,10,4,5.7,12.08,4
3112,1,28,8,12,1,2.2,7.25,1
3112,1,28,8,12,2,6,9.25,2
3112,1,28,8,12,3,5,11.25,3
3112,1,28,8,12,4,5.6,13.25,4
3118,0,28,11,10,1,2.3,7.17,1
3158,0,27,7,10,1,2.3,6.92,1
3158,0,27,7,10,2,3.4,8.92,2
3158,0,27,7,10,3,4.5,10.92,3
3158,0,27,7,10,4,4.8,12.92,4
3164,1,26,6,10,1,4.3,8,1
3164,1,26,6,10,2,5.2,10,2
3192,1,26,14,13,1,2.1,7.08,1
3192,1,26,14,13,2,4.1,9.08,2
